date,PRCP,SNOW,TMAX,TMIN
1990-01-31,4.380645161290322,1.4516129032258065,8.635483870967741,1.7548387096774194
1990-02-28,2.1142857142857143,1.6428571428571428,9.146428571428572,-0.5714285714285714
1990-03-31,2.9838709677419355,2.5483870967741935,12.348387096774195,2.1774193548387095
1990-04-30,4.336666666666667,0.5,16.843333333333334,7.013333333333334
1990-05-31,7.451612903225806,0.0,20.44516129032258,10.893548387096773
1990-06-30,2.1199999999999997,0.0,27.466666666666665,17.096666666666668
1990-07-31,2.8774193548387097,0.0,29.283870967741933,20.44516129032258
1990-08-31,10.129032258064516,0.0,28.606451612903225,19.44516129032258
1990-09-30,1.9,0.0,24.206666666666667,15.236666666666668
1990-10-31,5.229032258064516,0.0,20.85483870967742,12.325806451612904
1990-11-30,2.3866666666666663,0.0,14.6,5.776666666666667
1990-12-31,4.570967741935483,5.903225806451613,9.816129032258065,1.9322580645161291
